;Arrest Details (if applicable); Date & Time Arrested;\
0; Arrest Details; Date & Time Arrested;
1;Joe Smith; 06/15/2021 10:35 PM; Public Intoxication
2;Mary Johnson; 06/16/2021 2:15 AM; DUI
3;John Doe; 06/16/2021 9:00 AM; Shoplifting
4;Jane Doe; 06/16/2021 12:45 PM; Assault
5;Michael Brown; 06/16/2021 3:20 PM; Fraud
6;Robert Johnson; 06/16/2021 7:15 PM; Burglary
7;James Williams; 06/16/2021 10:50 PM; Vandalism
8;Matthew Davis; 06/17/2021 2:20 AM; Drug Possession
9;Samantha Jones; 06/17/2021 8:05 AM; Theft
10;David Miller; 06/17/2021 11:45 AM; Disorderly Conduct</s>
