;SpouseID; SpouseGivenName; SpouseMiddleName; SpouseSurname; SpouseDateOfBirth; SpousePlaceOfBirth; SpouseMotherMaidenName; SpouseFatherFirstName; SpouseFatherLastName; SpouseSpouseName; SpouseMarriageDate; SpouseDeathDate; SpouseSSN; AncestralOrigin; Profession.
0; 101; Elizabeth; Grace; Johnson; January 15, 1965; New York, NY; Davis; Robert; Johnson; James Smith; June 20, 1987; December 3, 2017; 123-45-6789; United States; Teacher
1;202; William; John; Brown; February 2, 1950; Chicago, IL; Thompson; Samuel; Brown; Mary Johnson; August 12, 1976; November 11, 2005; 987-65-4321; United Kingdom; Engineer
2;303; Sarah; Jane; Miller; March 18, 1972; Los Angeles, CA; Davis; Richard; Miller; Elizabeth Smith; September 5, 1998; January 10, 2020; 555-12-3456; Ireland; Doctor
3;404; James; Michael; Taylor; April 24, 1945; New York, NY; White; David; Taylor; Susan Thompson; July 14, 1973; March 15, 2015; 321-65-4987; United States; Businessman
4;505; Emily; Anne; Clark; May 12, 1960; Washington D.C., DC; Johnson; Daniel; Clark; Rebecca Davis; October 23, 1985; June 2, 2018; 789-45-6123; United States; Lawyer
5;606; Robert; Samuel; Lewis; June 17, 1955; San Francisco, CA; Wilson; Thomas; Lewis; Margaret Johnson; November 9, 1982; September 17, 2019; 654-32-1987; United States; Artist
6;707; Jessica; Rebecca; Thompson; July 30, 1948; Boston, MA; Davis; James; Thompson; Linda Brown; February 14, 1970; December 22, 2016; 987-12-3846; United States; Writer
7;808; Michael; David; Anderson; August 16, 1965; Philadelphia, PA; Taylor; Richard; Anderson; Helen Miller; May 29, 1993; February 8, 2017; 432-56-7890; United States; Scientist
8;909; Emily; Catherine; Harrison; September 10, 1973; Seattle, WA; Moore; James; Harrison; Sarah Davis; November 13, 2002; August 12, 2019; 123-78-9012; United States; Professor
9;1010; Daniel; Richard; Walker; October 21, 1946; Denver, CO; Jackson; Michael; Walker; Laura Brown; March 19, 1977; January 6, 2016; 654-87-9123; United States; Engineer</s>
