;Additional Tests Result; Allergies Test Results ; Diagnostic Imaging Report; Medication Dosage Instructions; Prescribed Medications Details; Rehabilitation Therapy Schedule; Special Dietary Guidelines; Veterinarian Notes; Appointments History; Follow-up Visit; Owner Contact Info
0; Additional Tests Result; Negative for heartworms, positive for Lyme disease; Diagnostic Imaging Report; Ultrasound shows slight enlargement of liver; Medication Dosage Instructions; 20mg of Doxycycline twice daily for 30 days; Prescribed Medications Details; Doxycycline Hyclate, antibiotic for Lyme disease; Rehabilitation Therapy Schedule; Underwater treadmill session three times a week for four weeks; Special Dietary Guidelines  Gradually transition to a low-fat, high-fiber diet  Veterinarian Notes  Patient responded well to the Lyme disease treatment  Appointments History  Initial consultation on March 1, 2022, and follow-up appointment on March 15, 2022  Follow-up Visit  Scheduled for April 5, 2022  Owner Contact Info  John Doe, 123 Main St, Anytown, USA, 12345, [email protected], 555-555-5555.
1;Additional Tests Result; Negative for feline leukemia virus (FeLV), positive for feline immunodeficiency virus (FIV); Diagnostic Imaging Report; X-ray shows mild thickening of the small intestines; Medication Dosage Instructions; 5mg of Bactrim three times daily for 10 days; Prescribed Medications Details; Trimethoprim-sulfamethoxazole, antibiotic for intestinal infection; Rehabilitation Therapy Schedule; Passive range of motion exercise twice daily; Special Dietary Guidelines  Begin feeding canned food, high in protein and fat, to support immune system health  Veterinarian Notes  Keep a close eye on the cat's overall health  Appointments History  Initial consultation on February 20, 2022, and follow-up appointment on March 6, 2022  Follow-up Visit  Scheduled for March 27, 2022  Owner Contact Info  Jane Doe, 456 Elm St, Anytown, USA, 56789, [email protected], 555-555-5556.
2;Additional Tests Result; Normal blood work and urinalysis; Diagnostic Imaging Report; CT scan shows mild spondylosis deformans; Medication Dosage Instructions; 10mg of Gabapentin three times daily for four weeks; Prescribed Medications Details; Gabapentin, pain medication for spinal arthritis; Rehabilitation Therapy Schedule; Laser therapy twice a week for four weeks; Special Dietary Guidelines  Maintain current diet but consider adding omega-3 fatty acids for anti-inflammatory properties  Veterinarian Notes  Monitor dog for improvement and report any changes  Appointments History  Initial consultation on April 10, 2022, and follow-up appointment on April 24, 2022  Follow-up Visit  Scheduled for May 15, 2022  Owner Contact Info  Bob Smith, 789 Maple St, Anytown, USA, 90123, [email protected], 555-555-5557.
3;Additional Tests Result; No signs of ear mites or bacterial infection; Diagnostic Imaging Report; Radiographs show no evidence of foreign body ingestion; Medication Dosage Instructions; None; Prescribed Medications Details; None; Rehabilitation Therapy Schedule; Continue with leash walks for exercise; Special Dietary Guidelines  Slowly transition to a high-fiber, low-fat diet  Veterinarian Notes  Patient is recovering well from the stomach upset  Appointments History  Initial consultation on May 5, 2022, and follow-up appointment on May 12, 2022  Follow-up Visit  Scheduled for June 2, 2022  Owner Contact Info  Sarah Johnson, 321 Oak St, Anytown, USA, 45678, [email protected], 555-555-5558.
4;Additional Tests Result; Negative for parvovirus, positive for giardia; Diagnostic Imaging Report; Abdominal ultrasound shows mild dilation of the small intestines; Medication Dosage Instructions; 20mg of Metronidazole twice daily for seven days; Prescribed Medications Details; Metronidazole, antibiotic and antiprotozoal for giardia; Rehabilitation Therapy Schedule; Restricted activity for the first 48 hours; Special Dietary Guidelines  Withhold food for 24 hours then gradually reintroduce bland diet  Veterinarian Notes  Monitor for dehydration and diarrhea  Appointments History  Initial consultation on June 15
5;2022, and follow-up appointment on June 22, 2022; Follow-up Visit; Scheduled for July 6, 2022; Owner Contact Info; Tom Williams, 654 Pine St, Anytown, USA, 78901, [email protected], 555-555-5559.;;;;;;
6;Additional Tests Result; No signs of heartworms or tick-borne diseases; Diagnostic Imaging Report; Radiographs show no evidence of hip dysplasia; Medication Dosage Instructions; None; Prescribed Medications Details; None; Rehabilitation Therapy Schedule; Begin light leash walks for exercise; Special Dietary Guidelines  Maintain current diet but increase portion size to support growth  Veterinarian Notes  Patient is healthy overall  Appointments History  Initial consultation on July 20, 2022, and follow-up appointment on July 27, 2022  Follow-up Visit  Scheduled for August 13, 2022  Owner Contact Info  Emily Davis, 987 Cedar St, Anytown, USA, 23456, [email protected], 555-555-5560.
7;Additional Tests Result; Negative for feline lower urinary tract disease (FLUTD), positive for dental disease; Diagnostic Imaging Report; Dental X-ray shows severe tooth resorption; Medication Dosage Instructions; 2mg of Clindoraldecoxy twice daily for 10 days; Prescribed Medications Details; Clindoraldecoxy, antibiotic for dental infection; Rehabilitation Therapy Schedule; Soft food diet for two weeks; Special Dietary Guidelines  Transition to a dental diet after two weeks  Veterinarian Notes  Schedule a dental cleaning as soon as possible  Appointments History  Initial consultation on August 10, 2022, and follow-up appointment on August 17, 2022  Follow-up Visit  Scheduled for September 7, 2022  Owner Contact Info  Mark Brown, 135 Birch St, Anytown, USA, 34567, [email protected], 555-555-5561.
8;Additional Tests Result; Normal blood work and urinalysis; Diagnostic Imaging Report; Ultrasound shows no evidence of kidney stones; Medication Dosage Instructions; None; Prescribed Medications Details; None; Rehabilitation Therapy Schedule; Gradually increase exercise over the next week; Special Dietary Guidelines  Maintain current diet but increase water intake  Veterinarian Notes  Patient is healthy overall  Appointments History  Initial consultation on September 12, 2022, and follow-up appointment on September 19, 2022  Follow-up Visit  Scheduled for October 10, 2022  Owner Contact Info  Lisa Green, 468 Cherry St, Anytown, USA, 56789, [email protected], 555-555-5562.
9;Additional Tests Result; No signs of parvovirus or distemper; Diagnostic Imaging Report; Radiographs show no evidence of bone fractures; Medication Dosage Instructions; None; Prescribed Medications Details; None; Rehabilitation Therapy Schedule; Begin short leash walks for exercise; Special Dietary Guidelines  Maintain current diet but increase portion size to support growth  Veterinarian Notes  Patient is healthy overall, monitor for any changes  Appointments History  Initial consultation on October 3, 2022, and follow-up appointment on October 10, 2022  Follow-up Visit  Scheduled for November 3, 2022  Owner Contact Info  Karen Taylor, 789 Willow St, Anytown, USA, 67890, [email protected], 555-555-5563.
